Entity,Code,Year,LitRate
Argentina,ARG,1980,93.9128570556641
Argentina,ARG,1991,96.0407180786133
Argentina,ARG,2001,97.1933135986328
Argentina,ARG,2006,98.6108016967773
Argentina,ARG,2009,98.9834213256836
Argentina,ARG,2010,98.9549713134766
Argentina,ARG,2011,99.1083297729492
Argentina,ARG,2012,99.1052322387695
Argentina,ARG,2013,99.1219482421875
Argentina,ARG,2014,98.9938888549805
Argentina,ARG,2015,99.1799621582031
Argentina,ARG,2016,99.1250076293945
Argentina,ARG,2018,99.0038681030273
Armenia,ARM,1989,98.7519607543945
Armenia,ARM,2001,99.4001617431641
Armenia,ARM,2011,99.7444076538086
Armenia,ARM,2017,99.7360687255859
Brazil,BRA,1980,74.5867309570313
Brazil,BRA,2000,86.3678817749023
Brazil,BRA,2004,88.6162414550781
Brazil,BRA,2006,89.6152267456055
Brazil,BRA,2007,90.0093688964844
Brazil,BRA,2008,90.03662109375
Brazil,BRA,2009,90.298210144043
Brazil,BRA,2010,90.3791809082031
Brazil,BRA,2011,91.4112396240234
Brazil,BRA,2012,91.3378524780273
Brazil,BRA,2013,91.4842376708984
Brazil,BRA,2014,91.7294311523438
Brazil,BRA,2015,92.0478973388672
Brazil,BRA,2016,92.8084411621094
Brazil,BRA,2017,93.0758209228516
Brazil,BRA,2018,93.2275009155273
Caribbean Small States,,1993,86.2455825805664
Caribbean Small States,,1994,86.2917633056641
Caribbean Small States,,1995,86.5570983886719
Caribbean Small States,,1996,86.8033981323242
Caribbean Small States,,1997,87.0503082275391
Caribbean Small States,,1998,87.4176406860352
Caribbean Small States,,1999,87.0992813110352
Caribbean Small States,,2000,87.9216079711914
Caribbean Small States,,2001,88.2242889404297
Caribbean Small States,,2002,88.510871887207
Caribbean Small States,,2003,88.7854690551758
Caribbean Small States,,2004,89.0601577758789
Caribbean Small States,,2005,89.3650894165039
Caribbean Small States,,2006,89.5564117431641
Caribbean Small States,,2007,90.1571273803711
Caribbean Small States,,2008,90.4194717407227
Caribbean Small States,,2009,90.6442718505859
Caribbean Small States,,2010,90.8884582519531
Caribbean Small States,,2011,91.0886917114258
Caribbean Small States,,2012,91.107292175293
Caribbean Small States,,2013,91.1765213012695
Caribbean Small States,,2014,91.349479675293
Caribbean Small States,,2015,91.4435577392578
Afghanistan,AFG,1979,18.1576805114746
Afghanistan,AFG,2011,31.4488506317139
Afghanistan,AFG,2018,43.019718170166
Albania,ALB,2001,98.7129821777344
Albania,ALB,2008,95.9386367797852
Albania,ALB,2011,96.8452987670898
Albania,ALB,2012,97.2469711303711
Albania,ALB,2018,98.1411514282227
Algeria,DZA,1987,49.6308784484863
Algeria,DZA,2002,69.8734970092773
Algeria,DZA,2006,72.648681640625
Algeria,DZA,2008,75.1360473632813
Algeria,DZA,2018,81.4078369140625
