Entity,Code,Year,SchoolTime
Uruguay,URY,1870,0.24
Uruguay,URY,1875,0.3
Uruguay,URY,1880,0.37
Uruguay,URY,1885,0.45
Uruguay,URY,1890,0.55
Uruguay,URY,1895,0.68
Uruguay,URY,1900,0.8
Uruguay,URY,1905,0.9
Uruguay,URY,1910,1
Uruguay,URY,1915,1.53
Uruguay,URY,1920,1.89
Uruguay,URY,1925,2.23
Uruguay,URY,1930,2.63
Uruguay,URY,1935,2.98
Uruguay,URY,1940,3.42
Uruguay,URY,1945,3.79
Uruguay,URY,1950,4.07
Uruguay,URY,1955,4.28
Uruguay,URY,1960,4.56
Uruguay,URY,1965,4.73
Uruguay,URY,1970,5.24
Uruguay,URY,1975,5.61
Uruguay,URY,1980,6.25
Uruguay,URY,1985,6.86
Uruguay,URY,1990,7.13
Uruguay,URY,1991,7.2
Uruguay,URY,1992,7.2
Uruguay,URY,1993,7.3
Uruguay,URY,1994,7.3
Uruguay,URY,1995,7.4
Uruguay,URY,1996,7.5
Uruguay,URY,1997,7.6
Uruguay,URY,1998,7.7
Uruguay,URY,1999,7.9
Uruguay,URY,2000,8
Uruguay,URY,2001,8
Uruguay,URY,2002,8
Uruguay,URY,2003,8
Uruguay,URY,2004,8
Uruguay,URY,2005,8
Uruguay,URY,2006,8
Uruguay,URY,2007,8.2
Uruguay,URY,2008,8.4
Uruguay,URY,2009,8.4
Uruguay,URY,2010,8.4
Uruguay,URY,2011,8.4
Uruguay,URY,2012,8.5
Uruguay,URY,2013,8.5
Uruguay,URY,2014,8.6
Uruguay,URY,2015,8.7
Uruguay,URY,2016,8.7
Uruguay,URY,2017,8.7
Venezuela,VEN,1870,0.01
Venezuela,VEN,1875,0.01
Venezuela,VEN,1880,0.02
Venezuela,VEN,1885,0.02
Venezuela,VEN,1890,0.03
Venezuela,VEN,1895,0.03
Venezuela,VEN,1900,0.32
Venezuela,VEN,1905,0.52
Venezuela,VEN,1910,0.71
Venezuela,VEN,1915,0.86
Venezuela,VEN,1920,0.98
Venezuela,VEN,1925,1.12
Venezuela,VEN,1930,1.21
Venezuela,VEN,1935,1.35
Venezuela,VEN,1940,1.41
Venezuela,VEN,1945,1.53
Venezuela,VEN,1950,1.5
Venezuela,VEN,1955,1.79
Venezuela,VEN,1960,1.93
Venezuela,VEN,1965,2.13
Venezuela,VEN,1970,2.41
Venezuela,VEN,1975,3.25
Venezuela,VEN,1980,4.42
Venezuela,VEN,1985,4.63
Venezuela,VEN,1990,4.59
Venezuela,VEN,1991,4.8
Venezuela,VEN,1992,5
Venezuela,VEN,1993,5.1
Venezuela,VEN,1994,5.3
Venezuela,VEN,1995,5.5
Venezuela,VEN,1996,5.7
Venezuela,VEN,1997,5.8
Venezuela,VEN,1998,6
Venezuela,VEN,1999,6.2
Venezuela,VEN,2000,6.4
Venezuela,VEN,2001,6.4
Venezuela,VEN,2002,6.8
Venezuela,VEN,2003,7
Venezuela,VEN,2004,7.2
Venezuela,VEN,2005,7.4
Venezuela,VEN,2006,7.6
Venezuela,VEN,2007,8.1
Venezuela,VEN,2008,8.2
Venezuela,VEN,2009,8.3
Venezuela,VEN,2010,8.9
Venezuela,VEN,2011,9.8
Venezuela,VEN,2012,9.7
Venezuela,VEN,2013,9.9
Venezuela,VEN,2014,10
Venezuela,VEN,2015,10.1
Venezuela,VEN,2016,10.1
Venezuela,VEN,2017,10.3
Vietnam,VNM,1950,1.86
Vietnam,VNM,1955,1.94
Vietnam,VNM,1960,2.01
Vietnam,VNM,1965,2.59
Vietnam,VNM,1970,3
Vietnam,VNM,1975,3.56
Vietnam,VNM,1980,4.18
Vietnam,VNM,1985,4.31
Vietnam,VNM,1990,3.94
Vietnam,VNM,1991,4.1
Vietnam,VNM,1992,4.2
Vietnam,VNM,1993,4.3
Vietnam,VNM,1994,4.5
Vietnam,VNM,1995,4.6
Vietnam,VNM,1996,4.8
Vietnam,VNM,1997,4.9
Vietnam,VNM,1998,5.1
Vietnam,VNM,1999,5.3
Vietnam,VNM,2000,5.4
Vietnam,VNM,2001,5.6
Vietnam,VNM,2002,5.8
Vietnam,VNM,2003,6
Vietnam,VNM,2004,6.2
Vietnam,VNM,2005,6.4
Vietnam,VNM,2006,6.6
Vietnam,VNM,2007,6.8
Vietnam,VNM,2008,7
Vietnam,VNM,2009,8
Vietnam,VNM,2010,7.5
Vietnam,VNM,2011,7.6
Vietnam,VNM,2012,7.8
Vietnam,VNM,2013,7.9
Vietnam,VNM,2014,7.8
Vietnam,VNM,2015,8
Vietnam,VNM,2016,8.1
Vietnam,VNM,2017,8.2
Yemen,YEM,1870,0.01
Yemen,YEM,1875,0.01
Yemen,YEM,1880,0.01
Yemen,YEM,1885,0.01
Yemen,YEM,1890,0.01
Yemen,YEM,1895,0.01
Yemen,YEM,1900,0.01
Yemen,YEM,1905,0.01
Yemen,YEM,1910,0.01
Yemen,YEM,1915,0.01
Yemen,YEM,1920,0.01
Yemen,YEM,1925,0.01
Yemen,YEM,1930,0.01
Yemen,YEM,1935,0.01
Yemen,YEM,1940,0.01
Yemen,YEM,1945,0.01
Yemen,YEM,1950,0.01
Yemen,YEM,1955,0.01
Yemen,YEM,1960,0.01
Yemen,YEM,1965,0.01
Yemen,YEM,1970,0.01
Yemen,YEM,1975,0
Yemen,YEM,1980,0.05
Yemen,YEM,1985,0.12
Yemen,YEM,1990,0.29
Yemen,YEM,1991,0.4
Yemen,YEM,1992,0.4
Yemen,YEM,1993,0.5
Yemen,YEM,1994,0.6
Yemen,YEM,1995,0.7
Yemen,YEM,1996,0.8
Yemen,YEM,1997,0.9
Yemen,YEM,1998,1
Yemen,YEM,1999,1.1
Yemen,YEM,2000,1.2
Yemen,YEM,2001,1.3
Yemen,YEM,2002,1.5
Yemen,YEM,2003,1.6
Yemen,YEM,2004,1.7
Yemen,YEM,2005,1.9
Yemen,YEM,2006,2
Yemen,YEM,2007,2.2
Yemen,YEM,2008,2.3
Yemen,YEM,2009,2.5
Yemen,YEM,2010,2.6
Yemen,YEM,2011,2.8
Yemen,YEM,2012,3
Yemen,YEM,2013,3
Yemen,YEM,2014,3
Yemen,YEM,2015,3
Yemen,YEM,2016,3
Yemen,YEM,2017,3
Zambia,ZMB,1870,0.01
Zambia,ZMB,1875,0.01
Zambia,ZMB,1880,0.01
Zambia,ZMB,1885,0.01
Zambia,ZMB,1890,0.01
Zambia,ZMB,1895,0.01
Zambia,ZMB,1900,0.01
Zambia,ZMB,1905,0.01
Zambia,ZMB,1910,0.01
Zambia,ZMB,1915,0.22
Zambia,ZMB,1920,0.37
Zambia,ZMB,1925,0.5
Zambia,ZMB,1930,0.6
Zambia,ZMB,1935,0.81
Zambia,ZMB,1940,0.98
Zambia,ZMB,1945,1.21
Zambia,ZMB,1950,1.35
Zambia,ZMB,1955,1.61
Zambia,ZMB,1960,1.83
Zambia,ZMB,1965,2.16
Zambia,ZMB,1970,2.84
Zambia,ZMB,1975,2.95
Zambia,ZMB,1980,3.36
Zambia,ZMB,1985,4.04
Zambia,ZMB,1990,4.68
Zambia,ZMB,1991,5
Zambia,ZMB,1992,5.2
Zambia,ZMB,1993,5.5
Zambia,ZMB,1994,5.8
Zambia,ZMB,1995,6
Zambia,ZMB,1996,6
Zambia,ZMB,1997,6
Zambia,ZMB,1998,5.9
Zambia,ZMB,1999,5.9
Zambia,ZMB,2000,5.9
Zambia,ZMB,2001,6
Zambia,ZMB,2002,6.1
Zambia,ZMB,2003,6.1
Zambia,ZMB,2004,6.2
Zambia,ZMB,2005,6.3
Zambia,ZMB,2006,6.4
Zambia,ZMB,2007,6.4
Zambia,ZMB,2008,6.5
Zambia,ZMB,2009,6.5
Zambia,ZMB,2010,6.6
Zambia,ZMB,2011,6.7
Zambia,ZMB,2012,6.7
Zambia,ZMB,2013,6.8
Zambia,ZMB,2014,6.9
Zambia,ZMB,2015,6.9
Zambia,ZMB,2016,7
Zambia,ZMB,2017,7
Zimbabwe,ZWE,1870,0.01
Zimbabwe,ZWE,1875,0.01
Zimbabwe,ZWE,1880,0.01
Zimbabwe,ZWE,1885,0.01
Zimbabwe,ZWE,1890,0.01
Zimbabwe,ZWE,1895,0.01
Zimbabwe,ZWE,1900,0.01
Zimbabwe,ZWE,1905,0.01
Zimbabwe,ZWE,1910,0.01
Zimbabwe,ZWE,1915,0.05
Zimbabwe,ZWE,1920,0.09
Zimbabwe,ZWE,1925,0.14
Zimbabwe,ZWE,1930,0.23
Zimbabwe,ZWE,1935,0.37
Zimbabwe,ZWE,1940,0.7
Zimbabwe,ZWE,1945,0.99
Zimbabwe,ZWE,1950,1.02
Zimbabwe,ZWE,1955,1.29
Zimbabwe,ZWE,1960,1.62
Zimbabwe,ZWE,1965,1.98
Zimbabwe,ZWE,1970,2.29
Zimbabwe,ZWE,1975,2.89
Zimbabwe,ZWE,1980,3.24
Zimbabwe,ZWE,1985,3.99
Zimbabwe,ZWE,1990,4.53
